lemma	pos	freq_ipm
и	conj	35801.8
в	pr	31374.2
не	part	18028
на	pr	15867.3
я	spro	12684.4
быть	v	12160.7
он	spro	11791.1
с	pr	11311.9
что	conj	8354
а	conj	8198
по	pr	5786.7
это	spro	5707.8
она	spro	5592.4
этот	apro	5414
к	pr	5389
но	conj	5381.4
они	spro	4850
мы	spro	4704.8
как	conj	4403.7
из	pr	4314.1
у	pr	4306.1
который	apro	4209
то	spro	3964.4
за	pr	3904.1
свой	apro	3825.5
что	spro	3810.2
весь	apro	3786.3
год	s	3727.5
от	pr	3672.5
так	advpro	3440.4
о	pr	3407.1
для	pr	3229.3
ты	spro	3171.2
же	part	3144.3
все	spro	3106.8
тот	apro	2967.1
мочь	v	2912.3
вы	spro	2906.4
человек	s	2723
такой	apro	2696.8
его	apro	2577.9
сказать	v	2396.6
только	part	2391.7
или	conj	2345
еще	adv	2323.9
бы	part	2322.4
себя	spro	2272.8
один	apro	2245.7
как	advpro	2212.7
уже	adv	2179.2
до	pr	2061.1
время	s	2015.7
если	conj	1998.1
сам	apro	1986.3
когда	conj	1895.7
другой	apro	1837.3
вот	part	1785.1
говорить	v	1755
наш	apro	1731.8
мой	apro	1720.3
знать	v	1713.8
стать	v	1621.8
при	pr	1550.8
чтобы	conj	1479.7
дело	s	1412.1
жизнь	s	1389.8
кто	spro	1374.8
первый	anum	1345.6
очень	adv	1286.8
два	num	1285.1
день	s	1258.4
ее	apro	1219.2
новый	a	1217.5
рука	s	1200.6
даже	part	1179.8
во	pr	1167.8
со	pr	1151.3
раз	s	1131.8
где	advpro	1129.2
там	advpro	1128.1
под	pr	1126
можно	adv	1125.9
ну	part	1114.6
какой	apro	1091.7
после	pr	1080.1
их	apro	1076
работа	s	1058.3
без	pr	1018.8
самый	apro	1007.4
потом	advpro	1006.1
надо	adv	993.2
хотеть	v	991.3
ли	part	981.7
слово	s	967.9
идти	v	957.1
Россия	s.PROP	952.2
большой	a	944.4
должен	a	944.2
место	s	926.6
иметь	v	906.7
ничто	spro	902.8
то	conj	902.4
сейчас	advpro	897.3
тут	advpro	879.2
лицо	s	878
каждый	apro	875.9
друг	s	874.2
нет	adv	874
теперь	advpro	871.8
ни	part	858.2
глаз	s	857.6
тоже	adv	841.5
тогда	advpro	835.6
видеть	v	818.2
вопрос	s	805.8
через	pr	805.4
да	conj	801
здесь	advpro	796.8
дом	s	792.6
да	part	787.5
потому	advpro	769.3
сторона	s	768.3
какой-то	apro	762.6
думать	v	755.5
сделать	v	743.5
страна	s	725.7
жить	v	725.5
чем	conj	721.1
мир	s	714.7
об	pr	714.5
последний	a	712.6
случай	s	709.7
голова	s	709.4
более	adv	706.2
делать	v	701.1
что-то	spro	667.6
смотреть	v	667.2
ребенок	s	658.3
просто	part	656.5
конечно	adv	647.3
сила	s	645.8
российский	a	644.6
конец	s	634.7
Москва	s.PROP	633.5
перед	pr	626.7
несколько	num	623.7
вид	s	620.1
система	s	617.8
всегда	advpro	611.9
работать	v	611.2
между	pr	607.5
три	num	596.7
нет	part	589.2
понять	v	588.2
пойти	v	587.2
часть	s	585.4
спросить	v	573.9
город	s	573.4
дать	v	573.1
также	adv	569.9
никто	spro	562.2
понимать	v	559.7
получить	v	557.7
отношение	s	557.4
лишь	part	552.5
второй	anum	552.4
именно	part	551.4
ваш	apro	547.5
хотя	conj	546.9
ни	conj	543.5
сидеть	v	538.1
над	pr	537
женщина	s	533.3
оказаться	v	531.9
русский	a	530.5
один	anum	529.5
взять	v	525.8
прийти	v	523.3
являться	v	522.9
деньги	s	512.4
почему	advpro	507.2
вдруг	adv	503.2
любить	v	503.1
стоить	v	501.9
почти	adv	501.7
земля	s	494.4
общий	a	492.4
ведь	part	491.9
машина	s	490.4
однако	conj	487.1
сразу	adv	486
хорошо	adv	485.7
вода	s	484.8
отец	s	484.1
высокий	a	483.3
остаться	v	482.7
выйти	v	480.9
много	num	480
проблема	s	474.9
начать	v	473.3
хороший	a	471.4
час	s	468.1
это	part	466.7
сегодня	adv	463.5
право	s	461.4
совсем	adv	460.5
нога	s	459.2
считать	v	455.3
главный	a	454.6
решение	s	453.4
увидеть	v	452.4
дверь	s	450.8
казаться	v	448.2
образ	s	445.9
писать	v	444.3
история	s	443.9
лучший	a	443.2
власть	s	435.6
закон	s	433.4
все	advpro	433.3
война	s	425.9
бог	s	425.4
голос	s	424.5
найти	v	424.1
поэтому	advpro	421.3
стоять	v	419.3
вообще	adv	417.6
тысяча	s	416
больше	adv	415.3
вместе	adv	414.3
маленький	a	414.1
книга	s	413.9
некоторый	apro	410.9
решить	v	409.7
любой	apro	408.8
возможность	s	407.5
результат	s	403.1
ночь	s	402.8
стол	s	402.5
никогда	advpro	401.8
имя	s	401.7
область	s	400.2
молодой	a	400
пройти	v	398.4
например	adv	398
статья	s	395
оно	spro	394.7
число	s	393.5
компания	s	392.7
про	pr	392.1
государственный	a	391.3
полный	a	390.6
принять	v	386.9
народ	s	385.6
никакой	apro	383.7
советский	a	382.9
жена	s	376.8
настоящий	a	374
всякий	apro	373.2
группа	s	372.8
развитие	s	372.6
процесс	s	371.7
суд	s	371.1
давать	v	370.7
ответить	v	370.4
старый	a	368.5
условие	s	368.1
твой	apro	366.6
пока	conj	366.3
средство	s	363.9
помнить	v	363.1
начало	s	361.4
ждать	v	360.2
свет	s	359.7
пора	s	358.2
путь	s	357.3
душа	s	356.8
куда	advpro	355.4
нужно	adv	353.7
разный	a	352.6
нужный	a	351.9
уровень	s	348.5
иной	apro	348.3
форма	s	347.8
связь	s	346.1
уж	part	344.4
минута	s	344.2
кроме	pr	343.6
находиться	v	342.7
опять	adv	342.2
многий	apro	340.9
белый	a	339.6
собственный	a	338.3
улица	s	337.8
черный	a	337.5
написать	v	336.2
вечер	s	335.4
снова	adv	334.4
основной	a	334.1
качество	s	331.7
мысль	s	331.6
дорога	s	330.1
мать	s	330.1
действие	s	329.3
месяц	s	328
оставаться	v	327.4
государство	s	326.4
язык	s	324.9
любовь	s	323.9
взгляд	s	323.8
мама	s	322.6
играть	v	319.1
далекий	a	318.3
лежать	v	318.1
нельзя	adv	317.7
век	s	317.4
школа	s	316
подумать	v	315.6
уйти	v	315.6
цель	s	315.5
среди	pr	314.9
общество	s	314.7
посмотреть	v	314.2
деятельность	s	313.5
организация	s	312.4
кто-то	spro	312
вернуться	v	311.2
президент	s	311
комната	s	310.7
порядок	s	307.6
момент	s	306.8
театр	s	305.3
следовать	v	305.1
читать	v	304.4
письмо	s	304.3
подобный	a	301.6
следующий	a	301.4
утро	s	301.3
особенно	adv	300.3
помощь	s	300.1
ситуация	s	298.8
роль	s	297.9
бывать	v	297.3
ходить	v	296.6
рубль	s	296.4
начинать	v	296
появиться	v	294.6
смысл	s	294.6
состояние	s	294.4
называть	v	293.4
рядом	adv	291.8
квартира	s	290.9
назад	adv	290.7
равный	a	289.7
из-за	pr	289.6
орган	s	288.4
внимание	s	286
тело	s	285.9
труд	s	285.9
прийтись	v	285.5
хотеться	v	285.3
сын	s	285.1
мера	s	284.3
пять	num	284.3
смерть	s	284.1
живой	a	284
рынок	s	283.3
программа	s	282.6
задача	s	282.4
предприятие	s	281.6
известный	a	281.1
окно	s	280.8
вести	v	280.3
совершенно	adv	280.3
военный	a	278.7
разговор	s	278.3
показать	v	277.7
правительство	s	277.7
важный	a	277
семья	s	276.6
великий	a	276.3
производство	s	275.6
простой	a	275.3
значит	adv	274.9
третий	anum	274.7
сколько	num	273.4
огромный	a	272.1
давно	adv	272
политический	a	269.6
информация	s	269.2
действительно	adv	268.6
положение	s	268.2
поставить	v	267.3
бояться	v	266.5
наконец	adv	265.9
центр	s	265.9
происходить	v	263.6
ответ	s	263.3
муж	s	263
автор	s	262.1
все-таки	part	261.3
стена	s	261
существовать	v	260.9
даже	conj	260.6
интерес	s	260.6
становиться	v	259.3
федерация	s	258.9
правило	s	258.8
оба	num	258.1
часто	adv	257.8
московский	a	257.3
управление	s	256.5
слышать	v	256.1
быстро	adv	255.7
смочь	v	255.1
заметить	v	253.9
как-то	advpro	253.2
мужчина	s	253.2
долго	adv	253.1
правда	adv	252.4
идея	s	250.8
партия	s	250.4
иногда	adv	249.8
использовать	v	249.6
пытаться	v	249.4
готовый	a	248.5
чуть	adv	248.3
зачем	advpro	247.7
представить	v	247.2
чувствовать	v	246.9
создать	v	245.9
совет	s	245.5
счет	s	245.4
сердце	s	245.1
движение	s	244.7
вещь	s	242.5
материал	s	242.4
неделя	s	242.2
чувство	s	242.2
затем	adv	241.3
данный	apro	241.1
заниматься	v	240.8
продолжать	v	240.6
красный	a	240.5
глава	s	240.2
ко	pr	239.7
слушать	v	239.5
наука	s	239
узнать	v	238.1
ряд	s	238
Александр	s.PROP	237.8
газета	s	237.5
причина	s	237.2
против	pr	236.5
плечо	s	236.4
современный	a	236.1
цена	s	236.1
план	s	235.3
приехать	v	234.4
речь	s	234.2
четыре	num	232.7
отвечать	v	232.4
точка	s	232.2
основа	s	231
товарищ	s	230.6
культура	s	230.2
слишком	adv	230.1
рассказывать	v	230
вполне	adv	229.8
далее	adv	229.6
рассказать	v	229.4
данные	s	229
представлять	v	228.5
мнение	s	228.4
социальный	a	228.2
около	pr	228.1
документ	s	226.8
институт	s	226.5
ход	s	226.5
брать	v	226.3
забыть	v	226
проект	s	225.9
ранний	a	225.7
встреча	s	224.9
особый	a	224.3
целый	a	222.5
директор	s	222.2
провести	v	222
спать	v	221.9
плохой	a	221.6
может	adv	221
впрочем	adv	220.7
сильный	a	220.5
наверное	adv	220.2
скорый	a	220
ведь	conj	219.9
срок	s	219.7
палец	s	219.1
опыт	s	218.8
помочь	v	218.8
больше	num	218.7
приходить	v	218.2
служба	s	218.1
крупный	a	217.3
Андрей	s.PROP	217.2
внутренний	a	216.1
просить	v	215.9
вспомнить	v	215.5
открыть	v	214.8
привести	v	214.7
судьба	s	213.9
пока	adv	213.4
девушка	s	213.3
поскольку	conj	212.8
очередь	s	212.5
лес	s	211.5
пусть	part	211
экономический	a	210.6
оставить	v	210.5
правый	a	210.4
состав	s	209.8
Сергей	s.PROP	209.5
словно	conj	209.2
федеральный	a	208.9
спрашивать	v	208.3
принимать	v	207.7
член	s	207.4
искать	v	206.9
близкий	a	206.8
количество	s	206.7
похожий	a	206.5
событие	s	206.5
объект	s	206.4
зал	s	206.3
создание	s	206.1
войти	v	205.5
различный	a	205.5
значение	s	205.1
назвать	v	205.1
достаточно	adv	204.7
период	s	204.2
хоть	part	203.9
шаг	s	203.8
необходимый	a	203.7
успеть	v	203.4
произойти	v	203.2
брат	s	203
искусство	s	202.6
единственный	a	202.2
легкий	a	202.1
структура	s	202.1
выходить	v	201.6
номер	s	201.2
предложить	v	201.2
пример	s	201.2
пить	v	200.9
исследование	s	200.5
гражданин	s	199.4
глядеть	v	199.3
человеческий	a	199.3
игра	s	199
начальник	s	198.9
сей	apro	198.6
рост	s	198.4
ехать	v	198.2
международный	a	198.2
тема	s	198.1
принцип	s	197.9
дорогой	a	197.7
попасть	v	197.7
десять	num	197.4
начаться	v	197.4
верить	v	197.1
метод	s	197
тип	s	197
фильм	s	196.8
небольшой	a	196.6
держать	v	196.5
либо	conj	195.7
позволять	v	194.3
край	s	194
местный	a	193.3
менее	adv	192.9
США	s.PROP	192.9
гость	s	192.7
купить	v	192.7
уходить	v	192.7
собираться	v	192.6
воздух	s	192.2
туда	advpro	191.7
относиться	v	191.6
бывший	a	191.5
требовать	v	190.9
характер	s	190.7
борьба	s	190.5
использование	s	190.3
кстати	adv	190.3
подойти	v	190
Иван	s.PROP	189.9
РФ	s.PROP	189.4
размер	s	189.3
удаться	v	189.1
образование	s	188.9
получать	v	188.2
Владимир	s.PROP	188
мальчик	s	188
кровь	s	187.8
район	s	187.8
небо	s	187.6
американский	a	186.5
армия	s	186.4
класс	s	185.8
представитель	s	185.7
участие	s	185.6
девочка	s	185.1
политика	s	184.9
сначала	adv	184.6
герой	s	184
картина	s	183.9
широкий	a	183.9
доллар	s	183.1
спина	s	183.1
территория	s	182.9
мировой	a	182.3
пол	s	181.9
тяжелый	a	180.3
довольно	adv	180.2
поле	s	180.2
ж	part	179.9
изменение	s	179.8
умереть	v	179.7
более	num	179.2
направление	s	179.2
рисунок	s	179.2
течение	s	179.2
возможный	a	179.1
церковь	s	178.6
банк	s	178.1
отдельный	a	177.5
средний	a	177.3
красивый	a	177.2
сцена	s	177.2
население	s	176.5
большинство	s	176.1
сесть	v	175.9
двадцать	num	175.8
случиться	v	175.8
музыка	s	175.7
короткий	a	175.6
правда	s	175.5
проходить	v	175.4
составлять	v	175
свобода	s	174.9
память	s	174.5
приходиться	v	174.5
причем	conj	174.4
команда	s	174.2
установить	v	174
союз	s	173.9
будто	conj	173.8
поднять	v	173.8
врач	s	173.1
серьезный	a	173
договор	s	172.8
стараться	v	172.8
уметь	v	172.5
встать	v	172.1
дерево	s	171.9
интересный	a	171.9
факт	s	171.3
добрый	a	171.1
всего	part	170.7
хозяин	s	170.6
национальный	a	170.3
однажды	adv	170.2
длинный	a	170.1
природа	s	169.9
домой	adv	169.6
страшный	a	169.1
прошлый	a	169
будто	part	168.5
общественный	a	168.1
угол	s	168.1
чтоб	conj	168
телефон	s	167.8
позиция	s	167.6
проводить	v	167.6
скоро	adv	167.3
наиболее	adv	167.2
двор	s	166.9
обычно	adv	166.7
Сталин	s.PROP	166.7
бросить	v	166.5
разве	part	166.4
писатель	s	166.3
самолет	s	166.1
объем	s	165.8
далеко	adv	165.5
род	s	165.5
солнце	s	165.2
вера	s	165.1
берег	s	164.7
спектакль	s	164.7
фирма	s	164.4
Николай	s.PROP	164.2
способ	s	164.2
завод	s	164
цвет	s	163.6
трудно	adv	163.3
журнал	s	162
руководитель	s	162
специалист	s	161.9
возможно	adv	161.8
детский	a	161.8
точно	adv	161.7
объяснить	v	161.4
оценка	s	161.4
единый	a	161.3
снять	v	161.3
определенный	a	161.2
низкий	a	160.7
нравиться	v	160.6
услышать	v	160.4
регион	s	160.3
связать	v	160.2
песня	s	160.1
процент	s	160.1
родитель	s	160
позволить	v	159.6
чужой	a	159.6
море	s	159.5
странный	a	159.5
требование	s	159.4
чистый	a	159
весьма	adv	158.8
какой-нибудь	apro	158.8
основание	s	158.8
половина	s	158.8
поехать	v	158.4
положить	v	158.1
входить	v	157.9
легко	adv	157.9
поздний	a	157.7
роман	s	157.7
круг	s	157.4
анализ	s	157
стихи	s	157
автомобиль	s	156.9
специальный	a	156.8
экономика	s	156.3
литература	s	156
бумага	s	155.8
вместо	pr	155.7
впервые	adv	155.5
видно	adv	155.2
научный	a	155.1
оказываться	v	155.1
поэт	s	155.1
показывать	v	155
степень	s	155
вызвать	v	154.9
касаться	v	154.7
господин	s	154.6
надежда	s	154.5
сложный	a	154.5
Борис	s.PROP	154.4
вокруг	pr	154.4
предмет	s	154.4
отметить	v	154.3
заявить	v	154.2
вариант	s	154.1
министр	s	154.1
откуда	advpro	154
реальный	a	153.8
граница	s	153.7
действовать	v	153.5
дух	s	153.5
модель	s	153.5
операция	s	153.3
пара	s	152.7
сон	s	152.7
немного	adv	151.9
название	s	151.8
ум	s	151.5
повод	s	151.2
старик	s	151
способный	a	150.5
мало	num	150.4
миллион	s	150.4
малый	a	150.2
старший	a	149.5
успех	s	149.5
практически	adv	149.4
получиться	v	149.3
личный	a	149.2
счастье	s	149.2
необходимо	adv	149
свободный	a	149
ребята	s	148.9
обычный	a	148.7
кабинет	s	148.5
прекрасный	a	148.4
СССР	s.PROP	148.3
высший	a	147.8
Михаил	s.PROP	147.4
кричать	v	147.3
прежде	pr	147.3
магазин	s	147.2
пространство	s	147.2
выход	s	147
остановиться	v	147
удар	s	146.8
база	s	146.7
знание	s	146.4
текст	s	146.2
сюда	advpro	146.1
темный	a	146
защита	s	145.9
предлагать	v	145.9
руководство	s	145.7
вовсе	adv	145.3
площадь	s	145.2
сознание	s	145.2
гражданский	a	144.7
убить	v	144.7
возраст	s	144.5
молчать	v	144.5
согласиться	v	144.2
участник	s	144.2
участок	s	144.2
рано	adv	144.1
пункт	s	144
несмотря	adv	143.9
сильно	adv	143.9
столь	advpro	143.9
сообщить	v	143.8
линия	s	143.7
бежать	v	143.6
желание	s	143.6
папа	s	143.4
кажется	adv	143.2
петь	v	143.2
доктор	s	143.1
губа	s	143
известно	adv	143
дома	adv	142.5
вызывать	v	142.4
дочь	s	142.4
показаться	v	142.4
среда	s	142.4
председатель	s	142.3
представление	s	142.2
солдат	s	142.2
художник	s	142.2
принести	v	141.9
волос	s	141.8
оружие	s	141.8
выглядеть	v	141.7
соответствие	s	141
никак	advpro	140.5
ветер	s	140.3
внешний	a	140.3
парень	s	140.3
служить	v	140.3
зрение	s	140.2
попросить	v	140.2
генерал	s	140
состоять	v	139.9
огонь	s	139.8
отдать	v	139.8
боевой	a	139.6
понятие	s	139.4
строительство	s	139.4
ухо	s	139.3
Европа	s.PROP	139.2
выступать	v	138.8
грудь	s	138.8
нос	s	138.8
ставить	v	138.7
завтра	adv	138.5
возникать	v	138.4
когда	advpro	138.4
страх	s	138.4
услуга	s	138.3
рабочий	a	138
что-нибудь	spro	137.6
глубокий	a	137.3
содержание	s	137.3
радость	s	137.2
безопасность	s	137.1
надеяться	v	137.1
продукт	s	136.7
видимо	adv	136.4
комплекс	s	136.3
бизнес	s	136.2
подняться	v	136.2
вспоминать	v	135.9
Иванович	s.PROP	135.9
мало	adv	135.8
сад	s	135.8
долгий	a	135.5
одновременно	adv	135.4
называться	v	135.3
сотрудник	s	135.1
лето	s	135
тихо	adv	135
зато	conj	134.9
прямой	a	134.8
курс	s	134.5
помогать	v	134.5
предложение	s	134.5
финансовый	a	134.5
открытый	a	134.4
почему-то	advpro	134.4
значить	v	134
возникнуть	v	133.6
рот	s	133.6
где-то	advpro	133.5
технология	s	133.5
знакомый	a	133.4
недавно	adv	133.3
реформа	s	133.1
отсутствие	s	132.4
нынешний	a	132.3
собака	s	132.2
камень	s	131.9
будущее	s	131.4
звать	v	131.3
рассказ	s	131.3
контроль	s	131.2
позвонить	v	131
река	s	131
хватать	v	130.9
продукция	s	130.8
сумма	s	130.6
техника	s	130.5
исторический	a	130.4
вновь	adv	130.3
народный	a	130.3
прямо	part	130.3
ибо	conj	130
выпить	v	129.9
здание	s	129.9
сфера	s	129.5
знаменитый	a	129.4
иначе	advpro	129.2
потерять	v	129.2
необходимость	s	129.1
больший	a	128.9
фонд	s	128.6
иметься	v	128.4
вперед	adv	128.1
подготовка	s	127.9
вчера	adv	127.6
лист	s	127.6
пустой	a	127.5
очередной	a	127.4
республика	s	127.4
хозяйство	s	127.2
Виктор	s.PROP	127.1
полностью	adv	127
получаться	v	127
учиться	v	126.9
плохо	adv	126.5
воля	s	126.4
судебный	a	126.1
бюджет	s	126
возвращаться	v	125.8
расти	v	125.8
снег	s	125.2
деревня	s	125.1
обнаружить	v	125
мужик	s	124.7
постоянно	adv	124.6
зеленый	a	124.4
элемент	s	124.4
обстоятельство	s	124.2
почувствовать	v	124.2
немец	s	124.1
многое	spro	124
победа	s	124
источник	s	123.7
немецкий	a	123.6
золотой	a	123.5
передать	v	123.5
технический	a	123.4
нормальный	a	123.2
едва	adv	123.1
желать	v	123.1
ожидать	v	123
некий	apro	122.8
звезда	s	122.7
городской	a	122.4
выбор	s	122
Америка	s.PROP	121.9
соответствующий	a	121.8
масса	s	121.7
составить	v	121.6
итог	s	121.5
сестра	s	121.3
что	advpro	121.2
Игорь	s.PROP	120.9
шесть	num	120.9
ясно	adv	120.8
практика	s	120.7
сто	num	120.7
нести	v	120.6
определить	v	120.6
проведение	s	120.6
карман	s	120.5
любимый	a	120.4
родной	a	120.3
западный	a	120.2
обязательно	adv	120.2
слава	s	120.2
кухня	s	120.1
определение	s	120.1
пользоваться	v	120.1
быстрый	a	119.8
функция	s	119.6
войско	s	119.4
комиссия	s	119.3
применение	s	119.3
капитан	s	119
работник	s	119
улыбнуться	v	119
холодный	a	119
обеспечение	s	118.8
офицер	s	118.7
появляться	v	118.4
Олег	s.PROP	118.3
конкретный	a	118.1
фамилия	s	118.1
предел	s	118
прямо	adv	118
смеяться	v	117.9
выборы	s	117.7
иностранный	a	117.4
уехать	v	117.4
ученый	s	117.4
вроде	part	117.3
левый	a	117.2
счастливый	a	117.2
бутылка	s	117.1
бой	s	117
подходить	v	116.9
судить	v	116.8
Ольга	s.PROP	116.7
родиться	v	116.7
теория	s	116.5
зона	s	116.4
отдел	s	116.2
зуб	s	116
Алексей	s.PROP	115.9
разработка	s	115.9
отказаться	v	115.8
святой	a	115.8
считаться	v	115.7
точный	a	115.7
занять	v	115.6
личность	s	115.6
гора	s	115.5
добавить	v	115.5
товар	s	115.5
звонить	v	115.4
медленно	adv	115.4
носить	v	115.3
метр	s	115.2
начинаться	v	115.1
зависеть	v	115
праздник	s	115
влияние	s	114.9
построить	v	114.9
читатель	s	114.7
частый	a	114.6
удовольствие	s	114.5
актер	s	114.4
слеза	s	114.2
создавать	v	114.1
значительный	a	113.9
ответственность	s	113.8
учитель	s	113.8
акт	s	113.6
встретить	v	113.5
принадлежать	v	113.5
произнести	v	113.5
боль	s	113.3
множество	s	113.3
связанный	a	113.2
особенность	s	113
участвовать	v	113
показатель	s	112.9
занимать	v	112.7
корабль	s	112.5
уверенный	a	112.5
звук	s	112.4
тонкий	a	112.4
центральный	a	112.4
впечатление	s	112.3
спокойно	adv	112.1
частность	s	112
детство	s	111.9
вывод	s	111.8
профессор	s	111.8
будущий	a	111.7
Петр	s.PROP	111.5
доля	s	111.4
норма	s	111.3
улыбаться	v	111.3
прошлое	s	111.2
возле	pr	111
командир	s	110.9
коридор	s	110.8
поддержка	s	110.6
рамка	s	110.6
вскоре	adv	110.5
лучше	part	110.5
сквозь	pr	110.5
враг	s	110.3
ладно	part	110.3
этап	s	110.3
черт	s	110.2
дед	s	110.1
направить	v	109.9
собрание	s	109.9
Германия	s.PROP	109.8
прием	s	109.8
физический	a	109.8
болезнь	s	109.6
клетка	s	109.6
кожа	s	109.5
заявление	s	109.3
ради	pr	109.2
попытка	s	109.1
сравнение	s	109.1
только	conj	109
расчет	s	108.9
когда-то	advpro	108.8
депутат	s	108.7
то	part	108.7
частный	a	108.7
обратиться	v	108.6
мелкий	a	108.5
невозможно	adv	108.5
английский	a	108.4
постоянный	a	108.4
комитет	s	108.1
знак	s	108
выбрать	v	107.9
примерно	adv	107.8
бить	v	107.5
дядя	s	107.5
Анна	s.PROP	107.4
учет	s	107.4
хлеб	s	107.4
тихий	a	107.3
хватить	v	107.3
обещать	v	107.2
ли	conj	106.9
встречаться	v	106.8
чай	s	106.8
режим	s	106.7
целое	s	106.6
вирус	s	106.5
гораздо	adv	106.5
млн	s.PROP	106.5
тридцать	num	106.5
выражение	s	106.4
напоминать	v	106.2
уж	adv	106.2
неожиданно	adv	106.1
здоровье	s	106
зима	s	106
упасть	v	106
перестать	v	105.8
десяток	s	105.7
глубина	s	105.6
сеть	s	105.5
студент	s	105.4
обладать	v	105.2
секунда	s	105.2
скорость	s	105.2
поиск	s	105
европейский	a	104.9
суть	s	104.9
налог	s	104.7
ошибка	s	104.4
ближайший	a	104.3
отечественный	a	104.3
теплый	a	104
плакать	v	103.9
духовный	a	103.7
доход	s	103.6
прежний	a	103.6
режиссер	s	103.5
поверхность	s	103.4
ощущение	s	103.3
состояться	v	103.1
карта	s	103
клуб	s	103
семь	num	103
станция	s	103
революция	s	102.9
колено	s	102.8
министерство	s	102.8
стекло	s	102.8
этаж	s	102.7
остальной	apro	102.2
высота	s	101.9
наоборот	adv	101.9
бабушка	s	101.8
двое	num	101.8
поверить	v	101.8
трубка	s	101.7
собрать	v	101.6
профессиональный	a	101.5
французский	a	101.5
женский	a	101.4
Павел	s.PROP	101.4
крайний	a	101.3
Христос	s.PROP	101.2
простить	v	101.1
газ	s	101
естественно	adv	100.8
мастер	s	100.8
вниз	adv	100.7
главное	adv	100.7
поведение	s	100.7
рассматривать	v	100.6
перейти	v	100.5
мешать	v	100.4
давай	part	100.3
столица	s	100.2
механизм	s	100.1
передача	s	100.1
божий	a	99.9
исчезнуть	v	99.9
способность	s	99.9
подход	s	99.8
разумеется	adv	99.7
столько	num	99.7
энергия	s	99.7
дальнейший	a	99.6
существование	s	99.6
исполнение	s	99.5
сорок	num	99.5
кино	s	99.4
сожаление	s	99.4
заместитель	s	99.3
мол	part	99.2
объявить	v	99
отличаться	v	98.9
естественный	a	98.7
ресурс	s	98.7
обращаться	v	98.6
акция	s	98.5
информационный	a	98.5
рождение	s	98.5
снимать	v	98.5
явно	adv	98.5
администрация	s	98.3
железный	a	98.3
пригласить	v	98.2
соответствовать	v	98.1
стоимость	s	98.1
улыбка	s	98.1
артист	s	98
горячий	a	98
закрыть	v	97.9
придумать	v	97.9
пожалуйста	part	97.8
попробовать	v	97.8
приводить	v	97.8
сосед	s	97.8
фраза	s	97.8
веселый	a	97.7
фигура	s	97.5
достигнуть	v	97.4
субъект	s	97.3
утверждать	v	97.3
реакция	s	97.2
список	s	97.2
фотография	s	97.2
журналист	s	97
май	s	97
означать	v	97
платить	v	96.9
нарушение	s	96.8
заседание	s	96.7
толпа	s	96.7
больница	s	96.6
существо	s	96.6
решать	v	96.5
интересно	adv	96.4
официальный	a	96.4
свойство	s	96.4
долг	s	96.2
поколение	s	96.2
серый	a	96.1
животное	s	95.9
схема	s	95.9
усилие	s	95.9
отличие	s	95.8
опасный	a	95.7
определять	v	95.7
остров	s	95.7
Путин	s.PROP	95.7
наблюдать	v	95.5
противник	s	95.5
волна	s	95.4
погибнуть	v	95.4
разговаривать	v	95.4
прочий	apro	95.2
реализация	s	95.1
страница	s	95.1
формирование	s	95
житель	s	94.9
устроить	v	94.9
Пушкин	s.PROP	94.8
есть	v	94.7
красота	s	94.7
правильно	adv	94.7
благодаря	pr	94.5
птица	s	94.5
собраться	v	94.5
достать	v	94.4
растение	s	94.4
тень	s	94.3
явление	s	94.3
храм	s	94.2
запах	s	94.1
слабый	a	94.1
водка	s	93.9
наличие	s	93.9
пожалуй	adv	93.9
яркий	a	93.9
ужас	s	93.8
одежда	s	93.7
ездить	v	93.6
кресло	s	93.6
Саша	s.PROP	93.6
больной	s	93.4
поезд	s	93.3
университет	s	93.3
летний	a	93.2
дополнительный	a	93.1
понравиться	v	93.1
традиция	s	93.1
Юрий	s.PROP	93
адрес	s	92.7
декабрь	s	92.7
ладонь	s	92.7
поздно	adv	92.5
сведение	s	92.5
правильный	a	92.4
цветок	s	92.4
выполнять	v	92.3
лесной	a	92.2
лидер	s	92.2
октябрь	s	92.2
занятие	s	92.1
заставить	v	92.1
объяснять	v	92.1
сентябрь	s	92.1
помещение	s	91.9
прочее	spro	91.9
согласно	pr	91.9
январь	s	91.9
выполнить	v	91.7
зритель	s	91.7
постепенно	adv	91.7
резко	adv	91.7
редакция	s	91.5
указать	v	91.5
умный	a	91.5
стиль	s	91.4
весна	s	91.3
северный	a	91.2
фактор	s	91.2
август	s	91
известие	s	91
зависимость	s	90.9
охрана	s	90.9
ясный	a	90.8
милый	a	90.7
оборудование	s	90.5
светлый	a	90.5
концерт	s	90.2
отделение	s	90.2
расход	s	90.2
редкий	a	90.2
выставка	s	89.9
милиция	s	89.9
верный	a	89.8
вздохнуть	v	89.7
юридический	a	89.6
находить	v	89.5
Николаевич	s.PROP	89.3
переход	s	89.3
закончить	v	89.2
эпоха	s	89
запад	s	88.9
признать	v	88.9
произведение	s	88.9
родина	s	88.9
собственность	s	88.9
тайна	s	88.9
хотя	part	88.9
четвертый	anum	88.9
административный	a	88.8
трава	s	88.7
дойти	v	88.6
лагерь	s	88.6
во-первых	adv	88.5
Марина	s.PROP	88.5
имущество	s	88.4
кивнуть	v	88.4
кровать	s	88.4
понятно	adv	88.4
